-0.086275, 0.019866, -0.012451, 	1, 1, 		-0.8621, 0, -0.5067, 
-0.052421, 0.000485, -0.070045, 	0.875, 0.5, 		-0.8621, 0, -0.5067, 
-0.086275, 0.000485, -0.012451, 	1, 0.5, 		-0.8621, 0, -0.5067, 
-0.052421, 0.019866, -0.070045, 	0.875, 1, 		-0.2513, 0, -0.9679, 
0.012242, 0.000485, -0.086832, 	0.75, 0.5, 		-0.2513, 0, -0.9679, 
-0.052421, 0.000485, -0.070045, 	0.875, 0.5, 		-0.2513, 0, -0.9679, 

0.012242, 0.019866, -0.086832, 	0.75, 1, 		0.5067, 0, -0.8621, 
0.069836, 0.000485, -0.052978, 	0.625, 0.5, 		0.5067, 0, -0.8621, 
0.012242, 0.000485, -0.086832, 	0.75, 0.5, 		0.5067, 0, -0.8621, 
0.069836, 0.019866, -0.052978, 	0.625, 1, 		0.9679, 0, -0.2513, 
0.086622, 0.000485, 0.011685, 	0.5, 0.5, 		0.9679, 0, -0.2513, 
0.069836, 0.000485, -0.052978, 	0.625, 0.5, 		0.9679, 0, -0.2513, 

0.086622, 0.019866, 0.011685, 	0.5, 1, 		0.8621, 0, 0.5067, 
0.052768, 0.000485, 0.069279, 	0.375, 0.5, 		0.8621, 0, 0.5067, 
0.086622, 0.000485, 0.011685, 	0.5, 0.5, 		0.8621, 0, 0.5067, 
0.052768, 0.019866, 0.069279, 	0.375, 1, 		0.2513, 0, 0.9679, 
-0.011895, 0.000485, 0.086066, 	0.25, 0.5, 		0.2513, 0, 0.9679, 
0.052768, 0.000485, 0.069279, 	0.375, 0.5, 		0.2513, 0, 0.9679, 

-0.069489, 0.019866, 0.052212, 	0.125, 1, 		-0.3491, 0.8993, 0.2636, 
-0.052614, 0.036399, -0.007752, 	0, 1, 		-0.4332, 0.8993, -0.0605, 
-0.086275, 0.019866, -0.012451, 	0, 1, 		-0.4332, 0.8993, -0.0605, 
-0.050291, 0.019866, 0.063497, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.069489, 0.000485, 0.052212, 	0.125, 0.5, 		-0.5067, 0, 0.8621, 
-0.050291, 0.000485, 0.063497, 	0.166667, 0.5, 		-0.5067, 0, 0.8621, 

-0.069489, 0.019866, 0.052212, 	0.125, 1, 		-0.9679, 0, 0.2513, 
-0.086275, 0.000485, -0.012451, 	0, 0.5, 		-0.9679, 0, 0.2513, 
-0.069489, 0.000485, 0.052212, 	0.125, 0.5, 		-0.9679, 0, 0.2513, 
0.052768, 0.000485, 0.069279, 	0.580294, 0.080294, 		0, -1, 0, 
-0.011895, 0.000485, 0.086066, 	0.51, 0.25, 		0, -1, 0, 
-0.031093, 0.000485, 0.074781, 	0.533431, 0.306569, 		0, -1, 0, 

-0.007196, 0.036399, 0.052404, 	0.25, 1, 		-0.5067, 0, 0.8621, 
-0.018918, 0.05101, 0.045513, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.018918, 0.036399, 0.045513, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.086275, 0.019866, -0.012451, 	1, 1, 		-0.4332, 0.8993, -0.0605, 
-0.031942, 0.036399, -0.04292, 	0.875, 1, 		-0.2636, 0.8993, -0.3491, 
-0.052421, 0.019866, -0.070045, 	0.875, 1, 		-0.2636, 0.8993, -0.3491, 

0.012242, 0.019866, -0.086832, 	0.75, 1, 		0.0605, 0.8993, -0.4332, 
0.04271, 0.036399, -0.032498, 	0.625, 1, 		0.3491, 0.8993, -0.2636, 
0.069836, 0.019866, -0.052978, 	0.625, 1, 		0.3491, 0.8993, -0.2636, 
0.052768, 0.019866, 0.069279, 	0.375, 1, 		0.2636, 0.8993, 0.3491, 
-0.007196, 0.036399, 0.052404, 	0.25, 1, 		-0.0605, 0.8993, 0.4332, 
-0.011895, 0.019866, 0.086066, 	0.25, 1, 		-0.0605, 0.8993, 0.4332, 

0.069836, 0.019866, -0.052978, 	0.625, 1, 		0.3491, 0.8993, -0.2636, 
0.052961, 0.036399, 0.006986, 	0.5, 1, 		0.4332, 0.8993, 0.0605, 
0.086622, 0.019866, 0.011685, 	0.5, 1, 		0.4332, 0.8993, 0.0605, 
-0.031093, 0.019866, 0.074781, 	0.208333, 1, 		-0.2361, 0.8848, 0.4016, 
-0.007196, 0.036399, 0.052404, 	0.25, 1, 		-0.0605, 0.8993, 0.4332, 
